Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.2.106-10.42.0.151-443-36635-6,10.42.0.151,36635,172.217.2.106,443,6,14/06/2017 01:54:51,22287,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.73841252748238,22287.0,0.0,22287.0,22287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.86920626374119,44.86920626374119,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1679,541,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.0.174-10.42.0.151-443-57267-6,10.42.0.151,57267,172.217.0.174,443,6,14/06/2017 01:54:51,23295,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.85533376261,23295.0,0.0,23295.0,23295.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,42.927666881305,42.927666881305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1425,404,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.0.174-10.42.0.151-443-48347-6,10.42.0.151,48347,172.217.0.174,443,6,14/06/2017 01:54:51,23323,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.75226171590276,23323.0,0.0,23323.0,23323.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,42.87613085795138,42.87613085795138,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1679,426,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.0.226-10.42.0.151-443-56457-6,10.42.0.151,56457,172.217.0.226,443,6,14/06/2017 01:54:51,22184,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.15506671474937,22184.0,0.0,22184.0,22184.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,45.07753335737468,45.07753335737468,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,349,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.2.106-10.42.0.151-443-48575-6,10.42.0.151,48575,172.217.2.106,443,6,14/06/2017 01:54:51,22319,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.60974954075004,22319.0,0.0,22319.0,22319.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.80487477037502,44.80487477037502,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,362,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.0.226-10.42.0.151-443-45288-6,10.42.0.151,45288,172.217.0.226,443,6,14/06/2017 01:54:51,22347,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.49747169642458,22347.0,0.0,22347.0,22347.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.74873584821229,44.74873584821229,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4117,365,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.0.226-10.42.0.151-443-58629-6,10.42.0.151,58629,172.217.0.226,443,6,14/06/2017 01:54:51,22351,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.48145496845778,22351.0,0.0,22351.0,22351.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.74072748422889,44.74072748422889,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,404,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.0.174-10.42.0.151-443-35535-6,10.42.0.151,35535,172.217.0.174,443,6,14/06/2017 01:54:51,23394,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.49200649739248,23394.0,0.0,23394.0,23394.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,42.74600324869624,42.74600324869624,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1635,349,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.0.174-10.42.0.151-443-59218-6,10.42.0.151,59218,172.217.0.174,443,6,14/06/2017 01:54:51,23659,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.53442664525129,23659.0,0.0,23659.0,23659.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,42.26721332262564,42.26721332262564,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1679,349,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
172.217.0.174-10.42.0.151-443-47211-6,10.42.0.151,47211,172.217.0.174,443,6,14/06/2017 01:54:57,100,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,310000.0,20000.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0,0,0,0,0,1,0,0,0,64,0,20000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SELFMITE
